instance_name,method,generator,use_time_windows,initial_routes,initial_distance,final_routes,final_distance,delta_routes,delta_distance,distance_improvement_pct,runtime_seconds,history_length,param_fill_ratio,param_seed,param_sa_initial_temp,param_sa_cooling_rate,param_sa_min_temp,param_sa_iterations_per_temp,param_sa_p_relocate,param_sa_p_exchange,param_tabu_tenure,param_tabu_max_iterations,param_tabu_max_no_improve,param_tabu_no_2opt
data1201.vrp,sa,random,True,44,5526.798446898165,6,1348.0691409886183,38,4178.729305909546,75.60849823019686,142.4445801,104849,0.75,1,200,0.98,0.001,1000,0.7,0.1,10,200,50,False
data1201.vrp,sa,random,True,44,5526.798446898165,7,1339.7257904953112,37,4187.072656402854,75.75945995918826,144.3986875,101000,0.75,1,200,0.98,0.001,1000,0.8,0.1,10,200,50,False
data1201.vrp,sa,random,True,44,5526.798446898165,6,1354.6277138404662,38,4172.170733057699,75.48982965715476,159.17508930000002,95260,0.75,1,200,0.98,0.001,1000,0.8,0.2,10,200,50,False
data1201.vrp,sa,random,True,44,5526.798446898165,6,1347.5257785005376,38,4179.272668397627,75.61832964513448,162.33159640000002,100324,0.75,1,200,0.98,0.001,1000,0.7,0.2,10,200,50,False
data1201.vrp,sa,random,True,44,5526.798446898165,6,1393.917063239882,38,4132.881383658283,74.77894161271256,205.53763659999998,152044,0.75,1,200,0.98,0.001,1500,0.8,0.1,10,200,50,False
data1201.vrp,sa,random,True,44,5526.798446898165,7,1311.898281866287,37,4214.900165031878,76.26296137861566,213.580112,149733,0.75,1,200,0.98,0.001,1500,0.7,0.2,10,200,50,False
data1201.vrp,sa,random,True,44,5526.798446898165,6,1444.6184382444837,38,4082.1800086536814,73.86156828180961,216.826953,143053,0.75,1,200,0.98,0.001,1500,0.8,0.2,10,200,50,False
data1201.vrp,sa,random,True,44,5526.798446898165,6,1355.6405574063715,38,4171.157889491793,75.47150361223675,234.4662015,158493,0.75,1,200,0.98,0.001,1500,0.7,0.1,10,200,50,False
data1201.vrp,sa,random,True,44,5526.798446898165,7,1313.396172107735,37,4213.40227479043,76.23585906511826,239.4227255,211826,0.75,1,200,0.98,0.001,2000,0.7,0.1,10,200,50,False
data1201.vrp,sa,random,True,44,5526.798446898165,6,1393.5758523623347,38,4133.2225945358305,74.78511536557917,270.8236599,199285,0.75,1,200,0.98,0.001,2000,0.7,0.2,10,200,50,False
