instance_name,method,generator,use_time_windows,initial_routes,initial_distance,final_routes,final_distance,delta_routes,delta_distance,distance_improvement_pct,runtime_seconds,history_length,param_fill_ratio,param_seed,param_sa_initial_temp,param_sa_cooling_rate,param_sa_min_temp,param_sa_iterations_per_temp,param_sa_p_relocate,param_sa_p_exchange,param_tabu_tenure,param_tabu_max_iterations,param_tabu_max_no_improve,param_tabu_no_2opt
data1202.vrp,sa,random,True,34,5400.139156373258,6,1140.5240752617995,28,4259.6150811114585,78.87972805449375,118.72023080000145,105156,0.75,1,200,0.98,0.001,1000,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1159.3169891153689,29,4240.822167257889,78.53172009933968,131.5034456000012,100187,0.75,1,200,0.98,0.001,1000,0.7,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1193.575568783951,29,4206.563587589307,77.897318305672,133.19740719999936,102141,0.75,1,200,0.98,0.001,1000,0.8,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1259.8081670322713,28,4140.330989340986,76.67082031496462,124.11524740000095,95636,0.75,1,200,0.98,0.001,1000,0.8,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,7,1157.9077976056024,27,4242.231358767655,78.5578155659371,136.34571669999968,157314,0.75,1,200,0.98,0.001,1500,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1172.1797611262264,28,4227.959395247031,78.29352675582783,166.74734249999892,151495,0.75,1,200,0.98,0.001,1500,0.7,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1151.4605381963602,28,4248.6786181768975,78.67720618204062,171.4975951999986,152067,0.75,1,200,0.98,0.001,1500,0.8,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1179.879735928593,28,4220.259420444665,78.15093830431951,193.92662290000044,144905,0.75,1,200,0.98,0.001,1500,0.8,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1170.0495488604165,28,4230.089607512841,78.33297411457406,213.3373606999994,212532,0.75,1,200,0.98,0.001,2000,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1163.7587346561497,28,4236.380421717108,78.44946767190844,260.6467154999991,203181,0.75,1,200,0.98,0.001,2000,0.7,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1166.6789416678375,29,4233.46021470542,78.39539115782007,258.39860749999934,202919,0.75,1,200,0.98,0.001,2000,0.8,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1235.1459960504958,29,4164.9931603227615,77.12751541610231,253.49451799999952,193825,0.75,1,200,0.98,0.001,2000,0.8,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1162.8025379607232,29,4237.336618412534,78.46717456181882,342.36949899999854,317634,0.75,1,200,0.98,0.001,3000,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1206.2735357051663,28,4193.865620668092,77.66217682961893,141.52416359999916,139913,0.75,1,200,0.985,0.001,1000,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1190.1614655297092,28,4209.977690843549,77.96054081078489,122.81843579999986,135111,0.75,1,200,0.985,0.001,1000,0.7,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1236.0396704723419,28,4164.099485900916,77.11096631623715,148.59934930000054,135979,0.75,1,200,0.985,0.001,1000,0.8,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1196.4223374781557,29,4203.716818895102,77.84460172538081,401.05349430000024,300177,0.75,1,200,0.98,0.001,3000,0.7,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1203.127058362927,28,4197.012098010331,77.72044342703664,116.55411540000023,128779,0.75,1,200,0.985,0.001,1000,0.8,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1204.2286571321188,28,4195.910499241139,77.7000439755171,359.7687024000006,288423,0.75,1,200,0.98,0.001,3000,0.8,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1152.0929436701736,28,4248.046212703084,78.66549527134924,400.8502810000009,304696,0.75,1,200,0.98,0.001,3000,0.8,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1175.056906089905,28,4225.082250283353,78.24024766652354,212.20961930000158,210797,0.75,1,200,0.985,0.001,1500,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1189.2548116249534,28,4210.884344748304,77.97733026525081,215.4860480999996,200187,0.75,1,200,0.985,0.001,1500,0.7,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1227.523558634017,29,4172.615597739241,77.26866802709536,221.69736310000008,194868,0.75,1,200,0.985,0.001,1500,0.8,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1211.4274893125382,29,4188.711667060719,77.56673570378629,265.90209120000145,202935,0.75,1,200,0.985,0.001,1500,0.8,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1200.827462631856,28,4199.3116937414015,77.76302743579049,298.7842211999996,283345,0.75,1,200,0.985,0.001,2000,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1140.563350025843,28,4259.575806347415,78.87900076279058,267.8621940999983,267678,0.75,1,200,0.985,0.001,2000,0.7,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,8,3199.013690723748,26,2201.12546564951,40.760532310574554,19.746097100000043,59004,0.75,1,200,0.99,0.001,1000,0.7,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,8,3016.9627221349456,26,2383.176434238312,44.131759668187094,36.39917719999903,110491,0.75,1,200,0.99,0.001,1000,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1224.2987862805899,28,4175.840370092668,77.32838449476493,280.48717810000016,257755,0.75,1,200,0.985,0.001,2000,0.8,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1186.311960742027,28,4213.827195631231,78.03182609948229,304.737637799999,272286,0.75,1,200,0.985,0.001,2000,0.8,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,7,3005.1652644326578,27,2394.9738919406,44.350225477320265,46.55809560000125,129752,0.75,1,200,0.99,0.001,1500,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1258.3052717754647,29,4141.833884597793,76.69865099142103,164.1272011000001,192994,0.75,1,200,0.99,0.001,1000,0.8,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1168.3783937059882,28,4231.76076266727,78.36392063476615,194.90321509999922,203362,0.75,1,200,0.99,0.001,1000,0.8,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,8,3157.41272021195,26,2242.726436161308,41.5309008012217,39.30786210000042,115443,0.75,1,200,0.99,0.001,1500,0.8,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1155.4009857242509,29,4244.738170649007,78.60423681192283,436.7880262999988,421648,0.75,1,200,0.985,0.001,3000,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1224.8322086956846,29,4175.306947677573,77.31850655644429,404.1148033999998,385323,0.75,1,200,0.985,0.001,3000,0.8,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1167.5867529201626,29,4232.552403453095,78.37858027154405,577.5757728000008,406226,0.75,1,200,0.985,0.001,3000,0.7,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1152.6483807126222,28,4247.490775660635,78.65520966524976,342.36061710000104,303856,0.75,1,200,0.99,0.001,1500,0.7,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1150.9093478233726,28,4249.229808549885,78.68741314813958,321.6929401000016,304219,0.75,1,200,0.99,0.001,1500,0.8,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1169.7009671188066,29,4230.438189254452,78.33942916566654,574.1305721999997,411897,0.75,1,200,0.985,0.001,3000,0.8,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1159.2191249526534,28,4240.920031420605,78.53353235194801,351.65666359999886,404253,0.75,1,200,0.99,0.001,2000,0.7,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1224.5405477954341,28,4175.598608577824,77.32390754504488,317.3549571000003,385579,0.75,1,200,0.99,0.001,2000,0.8,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1142.8716121520677,29,4257.26754422119,78.83625626937321,448.19436289999976,424871,0.75,1,200,0.99,0.001,2000,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1202.0455292427835,28,4198.0936271304745,77.74047122796593,103.15605880000112,115546,0.75,1,250,0.98,0.001,1000,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1132.2062563718514,29,4267.932900001406,79.0337577683416,464.6336264999991,406260,0.75,1,200,0.99,0.001,2000,0.8,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1168.977768171031,28,4231.161388202227,78.35282139365981,107.642482199999,112060,0.75,1,250,0.98,0.001,1000,0.8,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1191.4753942056093,29,4208.663762167648,77.9362094252807,142.50394030000098,110160,0.75,1,250,0.98,0.001,1000,0.7,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1213.360915227078,29,4186.778241146179,77.53093244282294,128.8604481000002,107299,0.75,1,250,0.98,0.001,1000,0.8,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1161.8637016587052,29,4238.275454714552,78.48455997124682,188.55781510000088,173387,0.75,1,250,0.98,0.001,1500,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1146.2655639290515,28,4253.873592444206,78.77340693014871,199.20238869999957,165238,0.75,1,250,0.98,0.001,1500,0.7,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1272.761854992468,28,4127.3773013807895,76.4309433861468,172.75151619999997,159307,0.75,1,250,0.98,0.001,1500,0.8,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1152.0398303367847,28,4248.099326036473,78.66647882625128,195.92260329999954,167542,0.75,1,250,0.98,0.001,1500,0.8,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1164.1952469661624,29,4235.943909407095,78.44138431891747,621.6568782000013,635653,0.75,1,200,0.99,0.001,3000,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1200.3027792661676,28,4199.83637710709,77.77274354403318,576.4364764999991,579236,0.75,1,200,0.99,0.001,3000,0.8,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1165.5965178585025,28,4234.542638514755,78.41543552664078,205.11505849999958,220985,0.75,1,250,0.98,0.001,2000,0.7,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1208.925545822515,28,4191.2136105507425,77.61306679670027,248.11970600000132,232053,0.75,1,250,0.98,0.001,2000,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1145.2421183871945,29,4254.897037986063,78.79235913697562,742.2458733999993,613778,0.75,1,200,0.99,0.001,3000,0.8,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1169.4437658672289,29,4230.695390506029,78.34419202906933,767.5796890999991,612045,0.75,1,200,0.99,0.001,3000,0.7,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1131.360060117376,28,4268.779096255882,79.04942766554188,236.45563380000021,224585,0.75,1,250,0.98,0.001,2000,0.8,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1223.7093181147961,28,4176.429838258462,77.3393002906125,254.7604023999993,215380,0.75,1,250,0.98,0.001,2000,0.8,0.2,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1203.5668038392707,28,4196.572352533987,77.71230020213798,152.39629069999864,155289,0.75,1,250,0.985,0.001,1000,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,6,1236.3637678677992,28,4163.775388505459,77.10496466727827,121.4516793999992,141392,0.75,1,250,0.985,0.001,1000,0.8,0.2,10,200,50,False
