instance_name,method,generator,use_time_windows,initial_routes,initial_distance,final_routes,final_distance,delta_routes,delta_distance,distance_improvement_pct,runtime_seconds,history_length,param_fill_ratio,param_seed,param_sa_initial_temp,param_sa_cooling_rate,param_sa_min_temp,param_sa_iterations_per_temp,param_sa_p_relocate,param_sa_p_exchange,param_tabu_tenure,param_tabu_max_iterations,param_tabu_max_no_improve,param_tabu_no_2opt
data111.vrp,sa,random,True,39,3967.5880028700194,19,1526.8866062259726,20,2440.701396644047,61.51599901195703,0.5875782,1720,0.75,3,1000.0,0.55,0.01,200,0.5,0.2,10,200,50,False
data111.vrp,sa,random,True,41,3987.010345609094,18,1510.8892632350041,23,2476.1210823740903,62.10470672846509,0.6403182999999999,1721,0.75,1,1000.0,0.55,0.01,200,0.5,0.2,10,200,50,False
data111.vrp,sa,random,True,41,3942.473918920051,17,1530.351088914506,24,2412.122830005545,61.182974944480804,0.6576719000000002,1734,0.75,2,1000.0,0.55,0.01,200,0.5,0.2,10,200,50,False
data111.vrp,sa,random,True,41,3942.473918920051,17,1530.351088914506,24,2412.122830005545,61.182974944480804,0.5975565,1734,0.75,2,1000.0,0.55,0.01,200,0.5,0.2,10,200,50,False
data111.vrp,sa,greedy,True,19,1678.1638567240575,19,1678.1638567240575,0,0.0,0.0,5.889294100000001,19830,0.75,1,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data111.vrp,sa,random,True,39,3967.5880028700194,18,2185.8162399407893,21,1781.7717629292301,44.908185064587265,15.331638000000002,48779,0.75,3,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data111.vrp,sa,greedy,True,19,1678.1638567240575,18,2175.302157565717,1,-497.13830084165966,-29.623942790194693,16.5931013,49975,0.75,3,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data111.vrp,sa,random,True,41,3942.473918920051,18,2161.9743163319044,23,1780.4996025881464,45.161988112171784,18.5984545,56679,0.75,2,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data111.vrp,sa,greedy,True,19,1678.1638567240575,17,2083.0154277124666,2,-404.8515709884091,-24.12467467740126,24.5704306,65727,0.75,2,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data111.vrp,sa,random,True,41,3987.010345609094,17,2088.017874574706,24,1898.992471034388,47.629484411189296,26.8675387,78650,0.75,1,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data111.vrp,sa,greedy,True,19,1678.1638567240575,19,1678.1638567240575,0,0.0,0.0,5.4291878,19830,0.75,1,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data111.vrp,sa,random,True,39,3967.5880028700194,18,2185.8162399407893,21,1781.7717629292301,44.908185064587265,14.571842100000001,48779,0.75,3,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data111.vrp,sa,greedy,True,19,1678.1638567240575,18,2175.302157565717,1,-497.13830084165966,-29.623942790194693,16.0584196,49975,0.75,3,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data111.vrp,sa,random,True,41,3942.473918920051,18,2161.9743163319044,23,1780.4996025881464,45.161988112171784,18.099085900000002,56679,0.75,2,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data111.vrp,sa,greedy,True,19,1678.1638567240575,17,2083.0154277124666,2,-404.8515709884091,-24.12467467740126,23.728436600000002,65727,0.75,2,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data111.vrp,sa,random,True,41,3987.010345609094,17,2088.017874574706,24,1898.992471034388,47.629484411189296,26.103126800000002,78650,0.75,1,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data111.vrp,sa,random,True,41,3942.473918920051,18,2179.4879940866954,23,1762.9859248333555,44.71775745611742,10.8184979,48564,0.75,2,400,0.99,0.01,500,0.4,0.3,10,200,50,False
data111.vrp,sa,random,True,71,4448.776235076591,21,1747.80601328866,50,2700.9702217879303,60.712656224244334,3.3067013,1640,0.75,2,1000.0,0.55,0.01,200,0.5,0.2,10,200,50,False
data111.vrp,sa,random,True,72,4495.8579072864895,21,1714.169653398661,51,2781.6882538878285,61.872245770479395,3.3405533999999997,1623,0.75,3,1000.0,0.55,0.01,200,0.5,0.2,10,200,50,False
data111.vrp,sa,random,True,73,4567.752626931998,20,1700.7396790674086,53,2867.0129478645895,62.76637948737306,3.6794904,1637,0.75,1,1000.0,0.55,0.01,200,0.5,0.2,10,200,50,False
data111.vrp,sa,random,True,39,3967.5880028700194,19,1526.8866062259726,20,2440.701396644047,61.51599901195703,0.6078237,1720,0.75,3,1000.0,0.55,0.01,200,0.5,0.2,10,200,50,False
