instance_name,method,generator,use_time_windows,initial_routes,initial_distance,final_routes,final_distance,delta_routes,delta_distance,distance_improvement_pct,runtime_seconds,history_length,param_fill_ratio,param_seed,param_sa_initial_temp,param_sa_cooling_rate,param_sa_min_temp,param_sa_iterations_per_temp,param_sa_p_relocate,param_sa_p_exchange,param_tabu_tenure,param_tabu_max_iterations,param_tabu_max_no_improve,param_tabu_no_2opt
data201.vrp,sa,random,True,44,4192.512211494158,7,1225.0685661942618,37,2967.443645299896,70.77960648902527,65.29952299999968,105749,0.75,1,350,0.985,0.01,500,0.3,0.1,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,7,1200.4916688920073,37,2992.0205426021503,71.36581580846088,69.30659709999964,103274,0.75,1,350,0.985,0.01,500,0.3,0.2,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,8,1261.8520936080847,36,2930.660117886073,69.90224404955575,67.7011493000009,100379,0.75,1,350,0.985,0.01,500,0.3,0.3,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,7,1180.0311021569141,37,3012.4811093372437,71.85384221608824,88.70167980000042,101123,0.75,1,350,0.985,0.01,500,0.5,0.1,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,7,1185.2304654251677,37,3007.2817460689903,71.72982675695614,76.9219893999998,97833,0.75,1,350,0.985,0.01,500,0.5,0.2,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,7,1213.5307006048656,37,2978.981510889292,71.05480820597589,82.22076349999952,95971,0.75,1,350,0.985,0.01,500,0.5,0.3,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,8,1200.8605372838422,36,2991.651674210316,71.35701754209391,79.109543999999,126973,0.75,1,350,0.985,0.01,600,0.3,0.1,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,7,1229.0748611960446,37,2963.4373502981134,70.68404815073829,84.10409280000022,123305,0.75,1,350,0.985,0.01,600,0.3,0.2,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,7,1210.429001685955,37,2982.083209808203,71.12879007561499,86.44524100000126,119928,0.75,1,350,0.985,0.01,600,0.3,0.3,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,9,2792.1297498154627,35,1400.382461678695,33.40198885621413,16.353180499998416,51016,0.75,1,350,0.985,0.01,700,0.5,0.1,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,6,1237.0531950384038,38,2955.459016455754,70.4937485537452,102.99436029999924,121693,0.75,1,350,0.985,0.01,600,0.5,0.1,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,7,1209.6798708412816,37,2982.832340652876,71.14665838003208,94.23012370000106,117467,0.75,1,350,0.985,0.01,600,0.5,0.2,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,8,1195.6546137783857,36,2996.857597715772,71.48118947631474,86.66820079999889,148974,0.75,1,350,0.985,0.01,700,0.3,0.1,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,6,1217.0753240026042,38,2975.4368874915535,70.97026168067251,131.87292789999992,114538,0.75,1,350,0.985,0.01,600,0.5,0.3,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,7,1196.5966846215244,37,2995.9155268726336,71.4587191579086,89.71678380000048,144362,0.75,1,350,0.985,0.01,700,0.3,0.2,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,6,1191.5091864687397,38,3001.003025025418,71.58006640500396,117.57048360000044,139958,0.75,1,350,0.985,0.01,700,0.3,0.3,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,7,1221.8674953846757,37,2970.644716109482,70.85595858171114,119.97521140000026,137144,0.75,1,350,0.985,0.01,700,0.5,0.2,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,7,1226.6498499828147,37,2965.862361511343,70.74188963314546,105.53598559999955,164703,0.75,1,350,0.985,0.01,800,0.3,0.2,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,7,1222.4378922031483,37,2970.0743192910095,70.84235344975926,114.65938020000067,132977,0.75,1,350,0.985,0.01,700,0.5,0.3,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,7,1226.03371617379,37,2966.478495320368,70.756585685964,114.09338130000106,169239,0.75,1,350,0.985,0.01,800,0.3,0.1,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,8,1205.8470885982008,36,2986.665122895957,71.23807808377374,113.56496499999957,158328,0.75,1,350,0.985,0.01,800,0.3,0.3,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,7,1203.124861384565,37,2989.3873501095927,71.30300877631107,120.71224000000075,160983,0.75,1,350,0.985,0.01,800,0.5,0.1,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,9,2711.7841848207026,35,1480.7280266734551,35.31839508097085,21.18633559999944,61883,0.75,1,350,0.985,0.01,900,0.5,0.3,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,7,1213.936723140662,37,2978.5754883534955,71.04512373720598,139.69988410000042,156420,0.75,1,350,0.985,0.01,800,0.5,0.2,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,7,1206.363948082934,37,2986.1482634112235,71.22574992684395,121.67795189999924,151841,0.75,1,350,0.985,0.01,800,0.5,0.3,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,8,1214.8772479706267,36,2977.634963523531,71.02269029437937,113.19953820000046,190119,0.75,1,350,0.985,0.01,900,0.3,0.1,10,200,50,False
data201.vrp,sa,random,True,44,4192.512211494158,8,2645.7232497629802,36,1546.7889617311776,36.894083635356225,31.822747500000332,98341,0.75,1,350,0.985,0.01,1000,0.3,0.1,10,200,50,False
