instance_name,method,generator,use_time_windows,initial_routes,initial_distance,final_routes,final_distance,delta_routes,delta_distance,distance_improvement_pct,runtime_seconds,history_length,param_fill_ratio,param_seed,param_sa_initial_temp,param_sa_cooling_rate,param_sa_min_temp,param_sa_iterations_per_temp,param_sa_p_relocate,param_sa_p_exchange,param_tabu_tenure,param_tabu_max_iterations,param_tabu_max_no_improve,param_tabu_no_2opt
data1102.vrp,sa,random,True,60,5903.881882580841,14,1514.7798712150038,46,4389.102011365838,74.34264605319598,54.95241850000093,50846,0.75,1,100,0.975,0.01,500,0.3,0.1,10,200,50,False
data1102.vrp,sa,random,True,60,5903.881882580841,14,1478.1695587602198,46,4425.712323820621,74.96275182737823,69.4858776000001,49229,0.75,1,100,0.975,0.01,500,0.3,0.2,10,200,50,False
data1102.vrp,sa,random,True,60,5903.881882580841,15,1504.7489779101666,45,4399.132904670674,74.51254940669008,59.174298500001896,47436,0.75,1,100,0.975,0.01,500,0.5,0.1,10,200,50,False
data1102.vrp,sa,random,True,60,5903.881882580841,15,1517.7314961273476,45,4386.150386453493,74.29265140609687,92.32661239999652,48230,0.75,1,100,0.975,0.01,500,0.5,0.2,10,200,50,False
data1102.vrp,sa,random,True,60,5903.881882580841,15,1532.4724288749067,45,4371.4094537059345,74.04296936569136,87.20602800000052,44964,0.75,1,100,0.975,0.01,500,0.7,0.1,10,200,50,False
data1102.vrp,sa,random,True,60,5903.881882580841,15,1508.6622585317152,45,4395.219624049126,74.4462662272604,82.96018919999915,78259,0.75,1,100,0.975,0.01,750,0.3,0.1,10,200,50,False
data1102.vrp,sa,random,True,60,5903.881882580841,15,1495.4108939457208,45,4408.47098863512,74.67071794986501,91.96500299999752,41655,0.75,1,100,0.975,0.01,500,0.7,0.2,10,200,50,False
data1102.vrp,sa,random,True,60,5903.881882580841,15,1493.576121606702,45,4410.305760974139,74.70179533886956,94.17801269999836,72069,0.75,1,100,0.975,0.01,750,0.5,0.1,10,200,50,False
data1102.vrp,sa,random,True,60,5903.881882580841,15,1501.895403852168,45,4401.986478728673,74.56088326760995,102.03398369999923,73320,0.75,1,100,0.975,0.01,750,0.3,0.2,10,200,50,False
data1102.vrp,sa,random,True,60,5903.881882580841,15,1501.7324245362681,45,4402.149458044573,74.5636438126063,109.81694409999909,69234,0.75,1,100,0.975,0.01,750,0.5,0.2,10,200,50,False
data1102.vrp,sa,random,True,60,5903.881882580841,14,1487.2906166382397,46,4416.591265942601,74.8082592738444,84.55520470000192,98450,0.75,1,100,0.975,0.01,1000,0.3,0.1,10,200,50,False
data1102.vrp,sa,random,True,60,5903.881882580841,15,1486.8420289333276,45,4417.039853647513,74.81585745608844,123.53092119999928,61726,0.75,1,100,0.975,0.01,750,0.7,0.2,10,200,50,False
