instance_name,method,generator,use_time_windows,initial_routes,initial_distance,final_routes,final_distance,delta_routes,delta_distance,distance_improvement_pct,runtime_seconds,history_length,param_fill_ratio,param_seed,param_sa_initial_temp,param_sa_cooling_rate,param_sa_min_temp,param_sa_iterations_per_temp,param_sa_p_relocate,param_sa_p_exchange,param_tabu_tenure,param_tabu_max_iterations,param_tabu_max_no_improve,param_tabu_no_2opt
data112.vrp,sa,random,True,34,3938.388542284393,16,1420.0701488561963,18,2518.318393428197,63.942863087030275,0.4979836999999998,1724,0.75,1,1000.0,0.55,0.01,200,0.5,0.2,10,200,50,False
data112.vrp,sa,random,True,34,3938.388542284393,16,1420.0701488561963,18,2518.318393428197,63.942863087030275,0.49699399999999994,1724,0.75,1,1000.0,0.55,0.01,200,0.5,0.2,10,200,50,False
data112.vrp,sa,greedy,True,15,1474.655651549161,14,1194.5135441403509,1,280.14210740881003,18.99712025071847,0.9368844999999997,1747,0.75,3,1000.0,0.55,0.01,200,0.5,0.2,10,200,50,False
data112.vrp,sa,greedy,True,15,1474.655651549161,15,1467.317460381219,0,7.338191167941886,0.49762065877772493,7.994930699999998,20282,0.75,3,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data112.vrp,sa,random,True,34,3938.388542284393,17,2111.5654962880085,17,1826.8230459963847,46.38503861116679,12.938946999999999,39669,0.75,1,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data112.vrp,sa,random,True,31,3823.149206938433,18,2223.806873990878,13,1599.342332947555,41.83311313210042,6.542119499999998,23803,0.75,3,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data112.vrp,sa,greedy,True,15,1474.655651549161,15,1474.655651549161,0,0.0,0.0,10.2229748,19886,0.75,1,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data112.vrp,sa,greedy,True,15,1474.655651549161,15,1474.655651549161,0,0.0,0.0,10.361793700000003,19893,0.75,2,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data112.vrp,sa,greedy,True,15,1474.655651549161,15,1467.317460381219,0,7.338191167941886,0.49762065877772493,8.767668399999998,20282,0.75,3,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data112.vrp,sa,random,True,31,3707.30291204295,17,2165.21449035408,14,1542.0884216888699,41.59596499869186,17.2991998,64108,0.75,2,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data112.vrp,sa,greedy,True,15,1474.655651549161,15,1467.317460381219,0,7.338191167941886,0.49762065877772493,7.9895554,20282,0.75,3,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data112.vrp,sa,random,True,34,3938.388542284393,17,2111.5654962880085,17,1826.8230459963847,46.38503861116679,13.091022899999999,39669,0.75,1,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
data112.vrp,sa,greedy,True,15,1474.655651549161,15,1474.655651549161,0,0.0,0.0,9.9783154,19886,0.75,1,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
